Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Korea, Rep.",1401.436667,1188.816667,1130.9575,1290.994583,1251.088333,1191.614167,1145.319167,1024.116667,954.7905158,929.2572617,1102.046667,1276.93,1156.060988,1108.292125,1126.470826,1094.852917,1052.960833,1131.1575,1160.433435,1130.424621,1100.5
Kuwait,0.30475564,0.304414667,0.306751583,0.306681667,0.303914252,0.298011521,0.2947,0.292,0.290176225,0.284213958,0.268828367,0.287785417,0.286606592,0.275978944,0.279935558,0.283589442,0.284567142,0.300852025,0.302137441,0.303349758,0.301956494
Latin America & Caribbean (excluding high income),,,,,,,,,,,,,,,,,,,,,
Lao PDR,3298.333333,7102.025,7887.643333,8954.583333,10056.33333,10569.0375,10585.375,10655.16667,10153.62408,9602.728818,8740.181403,8511.351163,8254.16303,8029.262555,8006.582032,7833.22999,8042.42157,8127.610598,8124.366756,8244.843189,8401.334766
Lebanon,1516.131667,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5
Liberia,41.5075,41.9025,40.9025,48.59190899,61.75416667,59.37883333,54.90583333,57.09583333,58.01333333,61.27222222,63.2075,68.28666667,71.40333333,72.22666667,73.51477208,77.52,83.8925,86.18836657,94.42724359,112.7066667,144.0555758
Libya,0.467574437,0.463810769,0.512189613,0.605064254,1.270679174,1.292944128,1.304966144,1.308384824,1.313571625,1.262644868,1.223562393,1.253534489,1.26678941,1.224152495,1.261659638,1.271691821,1.272402067,1.38120986,1.390368679,1.393820011,1.364966667
St. Lucia,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
Latin America & Caribbean,,,,,,,,,,,,,,,,,,,,,
Least developed countries: UN classification,,,,,,,,,,,,,,,,,,,,,
Low income,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,64.45011833,70.63545,77.00511667,89.38301333,95.662065,96.52095083,101.1944575,100.4980517,103.9144458,110.6232333,108.3337627,114.9447833,113.0644804,110.5652079,127.6033535,129.0690309,130.5646852,135.8569128,145.5816675,152.4464139,162.4648587
Lower middle income,,,,,,,,,,,,,,,,,,,,,
Low & middle income,,,,,,,,,,,,,,,,,,,,,
Lesotho,5.528284167,6.109484167,6.939828333,8.609180833,10.54074667,7.564749167,6.4596925,6.359328333,6.771549167,7.045365,8.261223333,8.473674158,7.321221961,7.261132132,8.209968627,9.655056069,10.85265557,12.75893088,14.70961089,13.32380142,13.23392647
Late-demographic dividend,,,,,,,,,,,,,,,,,,,,,
Lithuania,4,4,4,4,3.676958333,3.060866667,2.780591667,2.774025,2.752225,2.523725,2.357075,2.484033333,2.606333333,2.4811,2.686291667,2.601008333,2.600291667,,,,
Luxembourg,36.29864083,,,,,,,,,,,,,,,,,,,,
Latvia,0.589833333,0.585166667,0.6065,0.627916667,0.618191667,0.571475,0.540233333,0.564716667,0.560408333,0.513791667,0.480816667,0.50555,0.530475,0.501233333,0.546875,0.529391667,,,,,
"Macao SAR, China",7.978766667,7.99185,8.0259,8.0335,8.033433333,8.021241167,8.022171083,8.011064583,8.001426167,8.035853917,8.020109917,7.984283333,8.002216667,8.018208333,7.9898635,7.989255333,7.987129,7.984960417,7.99506425,8.026001,8.072507417
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,
Morocco,9.604415833,9.804419167,10.62563617,11.302975,11.02058333,9.574383333,8.868016667,8.865008333,8.795583333,8.192333333,7.750325,8.0571,8.417158333,8.089875,8.628444583,8.405503917,8.406336688,9.76434828,9.807476032,9.691997889,9.386102421
Monaco,,,,,,,,,,,,,,,,,,,,,
Moldova,5.3707,10.51580833,12.43421667,12.86514167,13.5704975,13.94488333,12.32971667,12.599625,13.13105833,12.13994497,10.39204368,11.10957543,12.36926096,11.73861249,12.11143682,12.58675623,14.03563005,18.81847515,19.92382756,18.49903489,16.80205172
